model,prompt,object_name
lambda-speedrun,a big river swamp in a dense forest,lambda-speedrun/a big river swamp in a dense forest.mp4
lambda-speedrun,a branch of a tree and a plant,lambda-speedrun/a branch of a tree and a plant.mp4
lambda-speedrun,a couple resting on their home floor,lambda-speedrun/a couple resting on their home floor.mp4
lambda-speedrun,a cracker sandwich with cheese filling for snack,lambda-speedrun/a cracker sandwich with cheese filling for snack.mp4
lambda-speedrun,a crowd of people in a plaza in front of a government building,lambda-speedrun/a crowd of people in a plaza in front of a government building.mp4
lambda-speedrun,a dark clouds over shadowing the full moon,lambda-speedrun/a dark clouds over shadowing the full moon.mp4
lambda-speedrun,a female fencer posing in a foggy room,lambda-speedrun/a female fencer posing in a foggy room.mp4
lambda-speedrun,a freshly brewed coffee on a pink mug,lambda-speedrun/a freshly brewed coffee on a pink mug.mp4
lambda-speedrun,a lion standing on wild grass,lambda-speedrun/a lion standing on wild grass.mp4
lambda-speedrun,a lizard on a bamboo,lambda-speedrun/a lizard on a bamboo.mp4
lambda-speedrun,a male interviewer listening to a person talking,lambda-speedrun/a male interviewer listening to a person talking.mp4
lambda-speedrun,a male vendor selling fruits,lambda-speedrun/a male vendor selling fruits.mp4
lambda-speedrun,a miniature house,lambda-speedrun/a miniature house.mp4
lambda-speedrun,a singer of a music band,lambda-speedrun/a singer of a music band.mp4
lambda-speedrun,a woman eating a bar of chocolate,lambda-speedrun/a woman eating a bar of chocolate.mp4
lambda-speedrun,a woman sitting by the indoor fire pit,lambda-speedrun/a woman sitting by the indoor fire pit.mp4
lambda-speedrun,a woman with a slice of a pie,lambda-speedrun/a woman with a slice of a pie.mp4
lambda-speedrun,a zigzag road across a forest,lambda-speedrun/a zigzag road across a forest.mp4
lambda-speedrun,alligator in the nature,lambda-speedrun/alligator in the nature.mp4
lambda-speedrun,barista preparing matcha tea,lambda-speedrun/barista preparing matcha tea.mp4
lambda-speedrun,bird nests on a tree captured with moving camera,lambda-speedrun/bird nests on a tree captured with moving camera.mp4
lambda-speedrun,building under construction,lambda-speedrun/building under construction.mp4
lambda-speedrun,candle burning in dark room,lambda-speedrun/candle burning in dark room.mp4
lambda-speedrun,candle on a jar and a house figurine on a surface,lambda-speedrun/candle on a jar and a house figurine on a surface.mp4
lambda-speedrun,cargo train traveling on the mountainside,lambda-speedrun/cargo train traveling on the mountainside.mp4
lambda-speedrun,close up shot of a yellow taxi turning left,lambda-speedrun/close up shot of a yellow taxi turning left.mp4
lambda-speedrun,clouds over railway,lambda-speedrun/clouds over railway.mp4
lambda-speedrun,deer grazing in the field,lambda-speedrun/deer grazing in the field.mp4
lambda-speedrun,eiffel tower from the seine river,lambda-speedrun/eiffel tower from the seine river.mp4
lambda-speedrun,focus shot of an insect at the bottom of a fruit,lambda-speedrun/focus shot of an insect at the bottom of a fruit.mp4
lambda-speedrun,forest of deciduous trees,lambda-speedrun/forest of deciduous trees.mp4
lambda-speedrun,hummingbird hawk moth flying near pink flowers,lambda-speedrun/hummingbird hawk moth flying near pink flowers.mp4
lambda-speedrun,indoor wall climbing activity,lambda-speedrun/indoor wall climbing activity.mp4
lambda-speedrun,panoramic view of a town surrounded by snow covered mountains,lambda-speedrun/panoramic view of a town surrounded by snow covered mountains.mp4
lambda-speedrun,person assembling furniture,lambda-speedrun/person assembling furniture.mp4
lambda-speedrun,person doing a leg exercise,lambda-speedrun/person doing a leg exercise.mp4
lambda-speedrun,pork ribs dish,lambda-speedrun/pork ribs dish.mp4
lambda-speedrun,red vehicle driving on field,lambda-speedrun/red vehicle driving on field.mp4
lambda-speedrun,reflection of tree branches,lambda-speedrun/reflection of tree branches.mp4
lambda-speedrun,rice terraces in the countryside,lambda-speedrun/rice terraces in the countryside.mp4
lambda-speedrun,road on mountain ridge,lambda-speedrun/road on mountain ridge.mp4
lambda-speedrun,time lapse of a cloudy sky behind a transmission tower,lambda-speedrun/time lapse of a cloudy sky behind a transmission tower.mp4
lambda-speedrun,uncooked pork meat,lambda-speedrun/uncooked pork meat.mp4
lambda-speedrun,variety of succulent plants on a garden,lambda-speedrun/variety of succulent plants on a garden.mp4
lambda-speedrun,video of lake during dawn,lambda-speedrun/video of lake during dawn.mp4
lambda-speedrun,watering yellow plant,lambda-speedrun/watering yellow plant.mp4
lambda-speedrun,white fox on rock,lambda-speedrun/white fox on rock.mp4
lambda-speedrun,woman seating inside the car while chewing,lambda-speedrun/woman seating inside the car while chewing.mp4
lambda-speedrun,workspace at home,lambda-speedrun/workspace at home.mp4
lambda-speedrun,young dancer practicing at home,lambda-speedrun/young dancer practicing at home.mp4
lambda,a big river swamp in a dense forest,lambda/a big river swamp in a dense forest.mp4
lambda,a branch of a tree and a plant,lambda/a branch of a tree and a plant.mp4
lambda,a couple resting on their home floor,lambda/a couple resting on their home floor.mp4
lambda,a cracker sandwich with cheese filling for snack,lambda/a cracker sandwich with cheese filling for snack.mp4
lambda,a crowd of people in a plaza in front of a government building,lambda/a crowd of people in a plaza in front of a government building.mp4
lambda,a dark clouds over shadowing the full moon,lambda/a dark clouds over shadowing the full moon.mp4
lambda,a female fencer posing in a foggy room,lambda/a female fencer posing in a foggy room.mp4
lambda,a freshly brewed coffee on a pink mug,lambda/a freshly brewed coffee on a pink mug.mp4
lambda,a lion standing on wild grass,lambda/a lion standing on wild grass.mp4
lambda,a lizard on a bamboo,lambda/a lizard on a bamboo.mp4
lambda,a male interviewer listening to a person talking,lambda/a male interviewer listening to a person talking.mp4
lambda,a male vendor selling fruits,lambda/a male vendor selling fruits.mp4
lambda,a miniature house,lambda/a miniature house.mp4
lambda,a singer of a music band,lambda/a singer of a music band.mp4
lambda,a woman eating a bar of chocolate,lambda/a woman eating a bar of chocolate.mp4
lambda,a woman sitting by the indoor fire pit,lambda/a woman sitting by the indoor fire pit.mp4
lambda,a woman with a slice of a pie,lambda/a woman with a slice of a pie.mp4
lambda,a zigzag road across a forest,lambda/a zigzag road across a forest.mp4
lambda,alligator in the nature,lambda/alligator in the nature.mp4
lambda,barista preparing matcha tea,lambda/barista preparing matcha tea.mp4
lambda,bird nests on a tree captured with moving camera,lambda/bird nests on a tree captured with moving camera.mp4
lambda,building under construction,lambda/building under construction.mp4
lambda,candle burning in dark room,lambda/candle burning in dark room.mp4
