model,prompt,object_name
lambda-stdit-720,a big river swamp in a dense forest,lambda-stdit-720/a big river swamp in a dense forest.mp4
lambda-stdit-720,a branch of a tree and a plant,lambda-stdit-720/a branch of a tree and a plant.mp4
lambda-stdit-720,a couple resting on their home floor,lambda-stdit-720/a couple resting on their home floor.mp4
lambda-stdit-720,a cracker sandwich with cheese filling for snack,lambda-stdit-720/a cracker sandwich with cheese filling for snack.mp4
lambda-stdit-720,a crowd of people in a plaza in front of a government building,lambda-stdit-720/a crowd of people in a plaza in front of a government building.mp4
lambda-stdit-720,a dark clouds over shadowing the full moon,lambda-stdit-720/a dark clouds over shadowing the full moon.mp4
lambda-stdit-720,a female fencer posing in a foggy room,lambda-stdit-720/a female fencer posing in a foggy room.mp4
lambda-stdit-720,a freshly brewed coffee on a pink mug,lambda-stdit-720/a freshly brewed coffee on a pink mug.mp4
lambda-stdit-720,a lion standing on wild grass,lambda-stdit-720/a lion standing on wild grass.mp4
lambda-stdit-720,a lizard on a bamboo,lambda-stdit-720/a lizard on a bamboo.mp4
lambda-stdit-720,a male interviewer listening to a person talking,lambda-stdit-720/a male interviewer listening to a person talking.mp4
lambda-stdit-720,a male vendor selling fruits,lambda-stdit-720/a male vendor selling fruits.mp4
lambda-stdit-720,a miniature house,lambda-stdit-720/a miniature house.mp4
lambda-stdit-720,a singer of a music band,lambda-stdit-720/a singer of a music band.mp4
lambda-stdit-720,a woman eating a bar of chocolate,lambda-stdit-720/a woman eating a bar of chocolate.mp4
lambda-stdit-720,a woman sitting by the indoor fire pit,lambda-stdit-720/a woman sitting by the indoor fire pit.mp4
lambda-stdit-720,a woman with a slice of a pie,lambda-stdit-720/a woman with a slice of a pie.mp4
lambda-stdit-720,a zigzag road across a forest,lambda-stdit-720/a zigzag road across a forest.mp4
lambda-stdit-720,alligator in the nature,lambda-stdit-720/alligator in the nature.mp4
lambda-stdit-720,barista preparing matcha tea,lambda-stdit-720/barista preparing matcha tea.mp4
